Rk.,Team,Venue,Day_Night,Year,Park Factor,wOBAcon,xwOBAcon,BACON,xBACON,HardHit,R,OBP,H,1B,2B,3B,HR,BB,SO,PA
1, Athletics,Sutter Health Park,day,2026,119,113,106,112,103,103,142,120,114,112,116,91,123,129,78,"3,564"
2, Rockies,Coors Field,day,2026,111,115,107,115,107,106,123,109,118,114,133,233,99,92,100,"4,022"
3, Royals,Kauffman Stadium,day,2026,108,105,103,103,101,104,117,105,111,102,136,112,116,97,87,"3,663"
4, Dodgers,UNIQLO Field at Dodger Stadium,day,2026,107,108,100,106,100,96,114,108,100,99,96,75,119,135,108,"2,367"
5, Yankees,Yankee Stadium,day,2026,103,100,101,97,96,104,106,102,96,88,115,101,108,122,95,"3,333"
6, Orioles,Oriole Park at Camden Yards,day,2026,103,100,97,102,99,99,106,105,102,105,102,114,88,113,93,"4,594"
7, Nationals,Nationals Park,day,2026,103,104,103,105,102,97,106,103,108,111,105,85,100,91,95,"4,555"
8, Phillies,Citizens Bank Park,day,2026,102,106,102,106,103,98,104,102,103,104,101,71,104,104,110,"3,618"
9, Cubs,Wrigley Field,day,2026,102,101,102,101,100,108,104,104,99,103,76,96,111,115,95,"5,157"
10, Red Sox,Fenway Park,day,2026,102,102,99,105,99,105,104,104,107,105,142,98,68,106,98,"3,864"
11, Pirates,PNC Park,day,2026,102,106,101,109,101,107,104,103,106,105,130,73,78,96,108,"4,418"
12, Blue Jays,Rogers Centre,day,2026,102,106,102,104,103,96,104,100,104,104,92,52,122,90,108,"4,488"
13, Rays,Tropicana Field,day,2026,101,99,101,98,101,98,102,99,102,99,110,114,109,92,92,"3,756"
14, Cardinals,Busch Stadium,day,2026,101,97,98,101,98,100,102,103,111,125,87,0,92,81,78,"3,892"
15, Brewers,American Family Field,day,2026,101,106,102,105,103,98,102,101,98,96,102,40,108,116,118,"3,555"
16, Reds,Great American Ball Park,day,2026,100,98,106,95,103,102,100,101,90,83,97,111,109,120,101,"4,081"
17, Guardians,Progressive Field,day,2026,99,103,103,107,103,97,98,102,100,104,110,101,71,100,111,"3,777"
18, Mets,Citi Field,day,2026,99,102,105,101,104,104,98,99,97,99,85,48,115,105,108,"4,506"
19, Rangers,Globe Life Field,day,2026,97,103,98,106,100,104,94,97,105,111,99,110,82,78,112,"2,977"
20, Twins,Target Field,day,2026,97,95,99,96,97,97,94,99,96,97,97,65,90,104,98,"4,180"
21, Tigers,Comerica Park,day,2026,97,96,92,94,93,97,94,96,98,96,92,168,107,91,96,"3,568"
22, Marlins,loanDepot park,day,2026,95,92,95,95,96,100,90,98,91,90,112,103,66,101,101,"4,479"
23, Giants,Oracle Park,day,2026,94,91,88,92,91,90,88,94,96,95,105,111,84,93,91,"3,649"
24, Angels,Angel Stadium,day,2026,93,96,95,100,96,94,86,99,89,95,96,38,63,106,119,"2,595"
25, Astros,Daikin Park,day,2026,93,94,96,91,97,100,86,90,88,74,134,144,95,90,109,"3,298"
26, Padres,Petco Park,day,2026,93,90,103,87,99,101,86,92,87,82,88,28,117,110,100,"2,840"
27, Mariners,T-Mobile Park,day,2026,93,94,100,96,102,101,86,96,92,96,90,19,81,103,112,"3,744"
28, D-backs,Chase Field,day,2026,91,86,99,89,101,107,83,91,97,99,101,258,60,86,86,"3,202"
29, White Sox,Rate Field,day,2026,90,87,95,89,97,101,81,92,85,87,87,62,79,101,105,"4,265"
30, Braves,Truist Park,day,2026,86,87,91,90,93,93,74,87,91,96,92,93,69,79,107,"2,888"
1, Nationals,Nationals Park,night,2026,110,109,106,104,102,105,121,106,105,95,107,88,148,107,91,"5,212"
2, Athletics,Sutter Health Park,night,2026,110,110,99,109,100,91,121,109,108,104,121,36,117,115,96,"5,293"
3, Pirates,PNC Park,night,2026,107,109,105,109,104,100,114,106,106,102,120,84,105,101,100,"5,411"
4, Royals,Kauffman Stadium,night,2026,106,103,100,104,102,104,112,107,107,101,138,154,84,111,90,"5,954"
5, Yankees,Yankee Stadium,night,2026,104,110,112,105,109,111,108,100,101,94,101,101,136,103,110,"5,245"
6, Reds,Great American Ball Park,night,2026,104,104,115,97,110,112,108,101,93,86,78,92,150,124,109,"5,569"
7, Phillies,Citizens Bank Park,night,2026,104,106,97,106,100,98,108,103,106,108,93,144,110,96,101,"6,013"
8, Orioles,Oriole Park at Camden Yards,night,2026,104,105,102,104,101,108,108,101,107,108,96,84,123,86,95,"5,027"
9, D-backs,Chase Field,night,2026,103,99,101,99,99,100,106,102,107,109,95,238,106,95,81,"5,696"
10, Rockies,Coors Field,night,2026,103,101,97,102,98,97,106,102,106,103,122,174,93,93,90,"5,571"
11, White Sox,Rate Field,night,2026,103,100,103,99,102,105,106,102,103,105,90,61,115,96,91,"4,888"
12, Astros,Daikin Park,night,2026,103,109,104,104,102,106,106,101,98,93,89,62,138,111,115,"6,055"
13, Rays,Tropicana Field,night,2026,103,104,102,101,99,91,106,99,106,98,125,78,124,87,94,"5,143"
14, Mets,Citi Field,night,2026,100,103,100,105,101,96,100,102,101,105,104,57,83,107,110,"4,836"
15, Blue Jays,Rogers Centre,night,2026,100,100,100,99,99,94,100,101,97,95,107,76,97,109,104,"5,232"
16, Twins,Target Field,night,2026,99,97,101,99,102,100,98,101,101,107,89,104,90,96,94,"5,711"
17, Giants,Oracle Park,night,2026,98,97,100,99,101,100,96,100,100,103,93,243,75,100,99,"4,950"
18, Mariners,T-Mobile Park,night,2026,97,103,100,98,99,99,94,94,95,89,100,30,125,91,119,"5,593"
19, Braves,Truist Park,night,2026,97,95,98,98,100,100,94,97,104,110,101,94,84,89,92,"5,770"
20, Red Sox,Fenway Park,night,2026,96,95,93,97,95,90,92,97,98,101,97,129,82,91,98,"4,731"
21, Tigers,Comerica Park,night,2026,96,96,92,98,96,95,92,98,97,107,71,192,85,100,106,"5,604"
22, Guardians,Progressive Field,night,2026,96,94,100,97,101,101,92,99,96,103,81,71,85,105,101,"4,682"
